,Title,Release Year,RT_score,URL,Director,Cast,Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,audience_score,number_audience_reviews,Rerelease Date (Theaters)
31,In Fabric,2018,92%,https://www.rottentomatoes.com/m/in_fabric,Peter Strickland,"Marianne Jean-Baptiste,Sidse Babett Knudsen,Hayley Squires,Leo Bill",Peter Strickland,Andrew Starke,Peter Strickland,A24,"Rook Films,BBC Films",R (Strong Sexual Content|Some Bloody Images|A Scene of Aberrant Behavior),"Horror,Comedy",English (United Kingdom),"Dec 6, 2019, Limited","Nov 19, 2019",$25.0K,1h 58m,,Scope (2.35:1),52%,250+ Ratings,
32,Slow West,2015,92%,https://www.rottentomatoes.com/m/slow_west_2015,John Maclean,"Michael Fassbender,Kodi Smit-McPhee,Ben Mendelsohn,Caren Pistorius",John Maclean,"Rachel Gardner,Iain Canning,Emile Sherman,Conor McCaughan",John Maclean,A24,"See-Saw Films,Rachel Gardner Films,DMC Film",R (Violence|Brief Language),"Western,Mystery & Thriller",English,"May 15, 2015, Limited","Oct 16, 2016",$215.6K,1h 31m,,,74%,"10,000+ Ratings",
33,A Prayer Before Dawn,2017,92%,https://www.rottentomatoes.com/m/a_prayer_before_dawn,Jean-Stéphane Sauvaire,"Joe Cole,Billy Moore,Pornchanok Mabklang,Panya Yimmumphai",Jean-Stéphane Sauvaire,"Rita Dagher,Nicholas Simon,Roy Boulter,Sol Papadopoulos","Jonathan Hirschbein,Nick Saltrese",A24,"Senorita Films,HanWay Films,Indochina Productions",R (Language Throughout|Drug Use|A Brutal Rape Sequence|Some Sexual Content and Nudity|Strong Violence),"Action,Mystery & Thriller",English,"Aug 10, 2018, Limited","Aug 7, 2018",$14.5K,1h 57m,,Scope (2.35:1),75%,"1,000+ Ratings",
34,The Disaster Artist,2017,91%,https://www.rottentomatoes.com/m/the_disaster_artist,James Franco,"James Franco,Dave Franco,Seth Rogen,Zac Efron",James Franco,"James Franco,Evan Goldberg,Vince Jolivette,Seth Rogen,James Weaver","Scott Neustadter,Michael H. Weber",A24,"Rabbit Bandini Productions,New Line Cinema,Point Grey,Good Universe",R (Some Sexuality/Nudity|Language Throughout),"Comedy,Drama",English,"Dec 8, 2017, Wide","Feb 17, 2018",$21.1M,1h 43m,"Dolby Atmos,Dolby Digital",Scope (2.35:1),85%,"10,000+ Ratings",
35,Uncut Gems,2019,91%,https://www.rottentomatoes.com/m/uncut_gems,Benny Safdie,"Adam Sandler,LaKeith Stanfield,Julia Fox,Kevin Garnett","Benny Safdie,Josh Safdie","Sebastian Bear-McClard,Oscar Boyson","Benny Safdie,Ronald Bronstein,Josh Safdie",A24,"Elara Pictures,Sikelia Productions,Scott Rudin Productions",R (Pervasive Strong Language|Brief Drug Use|Some Sexual Content|Violence),"Mystery & Thriller,Comedy",English,"Dec 25, 2019, Wide","Dec 13, 2019",$50.0M,2h 15m,"Dolby Atmos,Dolby Digital",Digital 2.39:1,52%,"10,000+ Verified Ratings","May 22, 2024"
36,A Ghost Story,2017,91%,https://www.rottentomatoes.com/m/a_ghost_story,David Lowery,"Casey Affleck,Rooney Mara,Kenneisha Thompson,Grover Coulson",David Lowery,"Toby Halbrooks,James M. Johnston,Adam Donaghey",David Lowery,A24,Scared Sheetless,R (Brief Language|A Disturbing Image),"Drama,Fantasy,Romance",English,"Jul 7, 2017, Limited","Jul 10, 2017",$1.6M,1h 30m,,,67%,"10,000+ Ratings",
37,Good Time,2017,91%,https://www.rottentomatoes.com/m/good_time,Josh Safdie,"Robert Pattinson,Jennifer Jason Leigh,Barkhad Abdi,Benny Safdie","Josh Safdie,Benny Safdie","Sebastian Bear-McClard,Oscar Boyson,Paris Kassidokostas-Latsis,Jean-Luc De Fanti,Terry Dougas","Josh Safdie,Ronald Bronstein",A24,"Elara Pictures,Rhea Films",R (Language Throughout|Drug Use|Sexual Content|Violence),"Mystery & Thriller,Crime,Drama",English,"Aug 25, 2017, Wide","Nov 7, 2017",$2.0M,1h 41m,,Scope (2.35:1),82%,"5,000+ Ratings",
38,Dream Scenario,2023,91%,https://www.rottentomatoes.com/m/dream_scenario,Kristoffer Borgli,"Nicolas Cage,Lily Bird,Julianne Nicholson,Jessica Clement",Kristoffer Borgli,"Ari Aster,Tyler Campellone,Jacob Jaffke,Lars Knudsen,Nicolas Cage",Kristoffer Borgli,A24,Square Peg,R (Some Sexual Content|Language|Violence),"Comedy,Drama,Mystery & Thriller,Horror",English,"Nov 22, 2023, Wide","Dec 22, 2023",$4.9M,1h 42m,Dolby Digital,Flat (1.85:1),68%,100+ Verified Ratings,
39,Locke,2013,91%,https://www.rottentomatoes.com/m/locke,Steven Knight,"Tom Hardy,Ruth Wilson,Andrew Scott,Tom Holland",Steven Knight,"Paul Webster,Guy Heeley",Steven Knight,A24,"IM Global,Shoebox Films",R (Language Throughout),Drama,English,"Apr 25, 2014, Limited","May 23, 2016",$1.4M,1h 24m,,,72%,"25,000+ Ratings",
40,The Spectacular Now,2013,91%,https://www.rottentomatoes.com/m/the_spectacular_now,James Ponsoldt,"Miles Teller,Shailene Woodley,Brie Larson,Jennifer Jason Leigh",James Ponsoldt,"Michelle Krumm,Andrew Lauren,Shawn Levy,Tom McNulty","Scott Neustadter,Michael H. Weber",A24,Andrew Lauren Productions,R (All Involving Teens|Alcohol Use|Language|Some Sexuality),"Comedy,Drama",English,"Aug 2, 2013, Limited","Aug 9, 2016",$6.9M,1h 35m,,,76%,"25,000+ Ratings",
41,Close,2022,91%,https://www.rottentomatoes.com/m/close_2022,Lukas Dhont,"Eden Dambrine,Gustav De Waele,Émilie Dequenne,Léa Drucker",Lukas Dhont,"Michiel Dhont,Dirk Impens","Lukas Dhont,Angelo Tijssens",A24,"Topkapi Films,Menuet Producties,Diaphana Films,Versus Production",PG-13 (Suicide|Brief Strong Language|Thematic Material),Drama,French (France),"Dec 2, 2022, Limited",,,1h 45m,,1.66:1,88%,500+ Ratings,
42,Mississippi Grind,2015,91%,https://www.rottentomatoes.com/m/mississippi_grind,Ryan Fleck,"Ryan Reynolds,Ben Mendelsohn,Sienna Miller,Lio Tipton","Ryan Fleck,Anna Boden","Tom Rice,Ben Nearn,Jamie Patricof,Lynette Howell Taylor","Ryan Fleck,Anna Boden",A24,"Electric City Entertainment,Gowanus Projections",R (Language),Drama,English,"Sep 25, 2015, Limited","Aug 15, 2016",$129.7K,1h 48m,Dolby,,55%,"5,000+ Ratings",
43,The Lighthouse,2019,90%,https://www.rottentomatoes.com/m/the_lighthouse_2019,Robert Eggers,"Robert Pattinson,Willem Dafoe,Valeriia Karaman,Logan Hawkes",Robert Eggers,"Jay Van Hoy,Lourenço Sant' Anna,Youree Henley,Rodrigo Teixeira","Robert Eggers,Max Eggers",A24,"Harbor Picture Company,A24,Topsail Entertainment,RT Features",R (Nudity|Disturbing Images|Sexual Content|Some Language|Violence),"Mystery & Thriller,Drama",English,"Oct 25, 2019, Wide","Oct 18, 2019",$10.9M,1h 50m,,,72%,"1,000+ Verified Ratings",
44,Hereditary,2018,90%,https://www.rottentomatoes.com/m/hereditary,Ari Aster,"Toni Collette,Gabriel Byrne,Alex Wolff,Ann Dowd",Ari Aster,"Kevin Scott Frakes,Lars Knudsen,Buddy Patrick",Ari Aster,A24,PalmStar Media,R (Disturbing Images|Brief Graphic Nudity|Drug Use|Horror Violence|Language),"Horror,Mystery & Thriller",English,"Jun 8, 2018, Wide","Aug 21, 2018",$44.1M,2h 7m,Dolby Digital,,70%,"10,000+ Ratings",
45,The Witch,2015,90%,https://www.rottentomatoes.com/m/the_witch_2016,Robert Eggers,"Anya Taylor-Joy,Ralph Ineson,Kate Dickie,Harvey Scrimshaw",Robert Eggers,"Jay Van Hoy,Lars Knudsen,Jodi Redmond,Daniel Bekerman,Rodrigo Teixeira",Robert Eggers,A24,,R (Graphic Nudity|Disturbing Violent Content),"Horror,History,Drama",English,"Feb 19, 2016, Wide","May 17, 2016",$25.1M,1h 32m,,,60%,"25,000+ Ratings","Apr 1, 2016"
46,Green Room,2015,90%,https://www.rottentomatoes.com/m/green_room_2016,Jeremy Saulnier,"Anton Yelchin,Imogen Poots,Alia Shawkat,Joe Cole",Jeremy Saulnier,"Neil Kopp,Anish Savjani,Victor Moyers",Jeremy Saulnier,A24,"Broad Green Pictures,Filmscience",R (Language|Gory Images|Some Drug Content|Strong Brutal Graphic Violence),"Mystery & Thriller,Horror",English,"Apr 29, 2016, Wide","Jul 27, 2016",$3.2M,1h 34m,,,75%,"10,000+ Ratings",
47,A Most Violent Year,2014,90%,https://www.rottentomatoes.com/m/a_most_violent_year,J.C. Chandor,"Oscar Isaac,Jessica Chastain,David Oyelowo,Alessandro Nivola",J.C. Chandor,"Neal Dodson,Anna Gerb,J.C. Chandor",J.C. Chandor,A24,"Before the Door,Old Bull Pictures,Washingston Square Films",R (Some Violence|Language),"Crime,Drama,Mystery & Thriller",English,"Dec 31, 2014, Limited","Mar 10, 2016",$5.7M,2h 4m,Dolby Digital,,69%,"25,000+ Ratings",
48,Gloria Bell,2018,90%,https://www.rottentomatoes.com/m/gloria_bell,Sebastián Lelio,"Julianne Moore,John Turturro,Michael Cera,Brad Garrett",Sebastián Lelio,"Juan de Dios Larraín,Pablo Larraín,Sebastián Lelio",Sebastián Lelio,A24,Fabula,R (Nudity|Language|Sexuality|Some Drug Use),"Romance,Comedy",English,"Mar 22, 2019, Wide","May 21, 2019",$5.6M,1h 42m,,Scope (2.35:1),47%,500+ Ratings,
49,Red Rocket,2021,90%,https://www.rottentomatoes.com/m/red_rocket,Sean Baker,"Simon Rex,Suzanna Son,Bree Elrod,Brenda Deiss",Sean Baker,"Sean Baker,Alex Coco,Samantha Quan,Alex Saks,Shih-Ching Tsou","Sean Baker,Chris Bergoch",A24,"Cre Film,FilmNation Entertainment",R (Graphic Nudity|Drug Use|Pervasive Language|Strong Sexual Content),"Comedy,Drama",English,"Dec 3, 2021, Limited","Mar 1, 2022",$825.0K,2h 8m,,Scope (2.35:1),75%,500+ Ratings,
50,Lean on Pete,2017,90%,https://www.rottentomatoes.com/m/lean_on_pete,Andrew Haigh,"Charlie Plummer,Chloë Sevigny,Steve Zahn,Justin Rain",Andrew Haigh,Tristan Goligher,Andrew Haigh,A24,The Bureau,R (Language and Brief Violence),Drama,English (United Kingdom),"Apr 6, 2018, Limited","Jul 3, 2018",$1.2M,2h 2m,,Flat (1.85:1),74%,"1,000+ Ratings",
51,Obvious Child,2014,90%,https://www.rottentomatoes.com/m/obvious_child,Gillian Robespierre,"Jenny Slate,Jake Lacy,Gaby Hoffmann,Gabe Liedman",Gillian Robespierre,Elisabeth Holm,Gillian Robespierre,A24,"Rooks Nest Entertainment,Sundial Pictures",R (Sexual Content|Language),Comedy,English,"Jun 6, 2014, Limited","May 23, 2016",$3.1M,1h 23m,,,72%,"10,000+ Ratings",
