Title,Release Year,RT_score,URL,Director,Cast
The Monster,2016,79%,https://www.rottentomatoes.com/m/the_monster_2016,Bryan Bertino,"Zoe Kazan,Scott Speedman,Ella Ballentine,Aaron Douglas"
Ginger & Rosa,2012,78%,https://www.rottentomatoes.com/m/ginger_and_rosa,Sally Potter,"Elle Fanning,Alice Englert,Alessandro Nivola,Christina Hendricks"
Skin,2018,76%,https://www.rottentomatoes.com/m/skin,Guy Nattiv,"Jamie Bell,Danielle Macdonald,Daniel Henshall,Bill Camp"
The Blackcoat's Daughter,2015,75%,https://www.rottentomatoes.com/m/the_blackcoats_daughter,Oz Perkins,"Emma Roberts,Kiernan Shipka,Lucy Boynton,James Remar"
Never Goin' Back,2018,76%,https://www.rottentomatoes.com/m/never_goin_back,Augustine Frizzell,"Maia Mitchell,Camila Morrone,Kyle Mooney,Joel Allen"
Into the Forest,2015,76%,https://www.rottentomatoes.com/m/into_the_forest,Patricia Rozema,"Elliot Page,Evan Rachel Wood,Max Minghella,Callum Keith Rennie"
The Exception,2016,75%,https://www.rottentomatoes.com/m/the_exception,David Leveaux,"Lily James,Jai Courtney,Christopher Plummer,Eddie Marsan"
The Death of Dick Long,2019,74%,https://www.rottentomatoes.com/m/the_death_of_dick_long,Daniel Scheinert,"Michael Abbott Jr.,Virginia Newcomb,Andre Hyland,Sarah Baker"
Enemy,2013,72%,https://www.rottentomatoes.com/m/enemy_2013,Denis Villeneuve,"Jake Gyllenhaal,Mélanie Laurent,Isabella Rossellini,Sarah Gadon"
Medusa Deluxe,2022,72%,https://www.rottentomatoes.com/m/medusa_deluxe,Thomas Hardiman,"Anita-Joy Uwajeh,Clare Perkins,Darrell D'Silva,Debris Stevenson"
I Saw the TV Glow,2024,86%,https://www.rottentomatoes.com/m/i_saw_the_tv_glow,Jane Schoenbrun,"Justice Smith,Brigette Lundy-Paine,Ian Foreman,Helena Howard"
The Ballad of Lefty Brown,2017,80%,https://www.rottentomatoes.com/m/the_ballad_of_lefty_brown,Jared Moshe,"Bill Pullman,Kathy Baker,Jim Caviezel,Tommy Flanagan"
The Children Act,2017,74%,https://www.rottentomatoes.com/m/the_children_act,Richard Eyre,"Emma Thompson,Fionn Whitehead,Stanley Tucci,Ben Chaplin"
Low Tide,2019,73%,https://www.rottentomatoes.com/m/low_tide_2018,Kevin McMullin,"Keean Johnson,Alex Neustaedter,Daniel Zolghadri,Kristine Froseth"
Swiss Army Man,2016,72%,https://www.rottentomatoes.com/m/swiss_army_man,Daniel Scheinert,"Paul Dano,Daniel Radcliffe,Mary Elizabeth Winstead,Antonia Ribero"
The Kill Team,2019,70%,https://www.rottentomatoes.com/m/the_kill_team_2019,Dan Krauss,"Nat Wolff,Alexander Skarsgård,Adam Long,Jonathan Whitesell"
Men,2022,69%,https://www.rottentomatoes.com/m/men_2022,Alex Garland,"Jessie Buckley,Rory Kinnear,Paapa Essiedu,Gayle Rankin"
Free Fire,2016,69%,https://www.rottentomatoes.com/m/free_fire,Ben Wheatley,"Sharlto Copley,Armie Hammer,Brie Larson,Cillian Murphy"
Climax,2018,69%,https://www.rottentomatoes.com/m/climax,Gaspar Noé,"Sofia Boutella,Romain Guillermic,Souheila Yacoub,Kiddy Smile"
Remember,2015,69%,https://www.rottentomatoes.com/m/remember_2016,Atom Egoyan,"Christopher Plummer,Martin Landau,Henry Czerny,Dean Norris"
The Rover,2014,68%,https://www.rottentomatoes.com/m/the_rover,David Michôd,"Guy Pearce,Robert Pattinson,Scoot McNairy,David Field"
Spring Breakers,2012,68%,https://www.rottentomatoes.com/m/spring_breakers_2013,Harmony Korine,"James Franco,Vanessa Hudgens,Selena Gomez,Ashley Benson"
Beau Is Afraid,2023,67%,https://www.rottentomatoes.com/m/beau_is_afraid,Ari Aster,"Joaquin Phoenix,Nathan Lane,Amy Ryan,Parker Posey"
Dicks: The Musical,2023,68%,https://www.rottentomatoes.com/m/dicks_the_musical,Larry Charles,"Megan Mullally,Nathan Lane,Megan Thee Stallion,Bowen Yang"
Laggies,2014,65%,https://www.rottentomatoes.com/m/laggies,Lynn Shelton,"Keira Knightley,Chloë Grace Moretz,Sam Rockwell,Ellie Kemper"
The Whale,2022,64%,https://www.rottentomatoes.com/m/the_whale_2022,Darren Aronofsky,"Brendan Fraser,Sadie Sink,Hong Chau,Ty Simpkins"
Stars at Noon,2022,63%,https://www.rottentomatoes.com/m/stars_at_noon,Claire Denis,"Margaret Qualley,Joe Alwyn,Danny Ramirez,Benny Safdie"
