,Title,Release Year,Rating,URL,Director,Cast,Audience Score,Genre,Duration,Box Office,Production Co
60,20th Century Women,2016,R (Language|Brief Drug Use|Sexual Material|Some Nudity),https://www.rottentomatoes.com/m/20th_century_women,Mike Mills,"Annette Bening,Elle Fanning,Greta Gerwig,Billy Crudup",74,Comedy/Drama,1h58m,$5.7M,"Annapurna Pictures, 
                            
                            Modern People, 
                            
                            Archer Gray"
61,It Comes at Night,2017,R (Language|Disturbing Images|Violence),https://www.rottentomatoes.com/m/it_comes_at_night,Trey Edward Shults,"Joel Edgerton,Christopher Abbott,Carmen Ejogo,Riley Keough",44,Horror/Mystery&thriller,1h37m,$14.0M,Animal Kingdom
62,The Iron Claw,2023,R (Language|Drug Use|Some Sexuality|Suicide),https://www.rottentomatoes.com/m/the_iron_claw_2023,Sean Durkin,"Zac Efron,Jeremy Allen White,Harris Dickinson,Stanley Simons",94,Drama/Action,2h12m,$34.7M,"BBC Film, 
                            
                            House Productions, 
                            
                            Access Entertainment"
63,Showing Up,2022,R (Brief Graphic Nudity),https://www.rottentomatoes.com/m/showing_up_2022,Kelly Reichardt,"Michelle Williams,Hong Chau,Maryann Plunkett,John Magaro",49,Comedy/Drama,1h48m,$63.0K,"A24, 
                            
                            Film Science, 
                            
                            Digital One"
64,Morris From America,2016,R (Sexual Material|Language Throughout|Brief Nudity|Teen Drug Use and Partying),https://www.rottentomatoes.com/m/morris_from_america,Chad Hartigan,"Craig Robinson,Carla Juri,Lina Keller,Markees Christmas",60,Comedy/Drama,1h31m,$88.9K,Lichtblick Media
65,The Lobster,2015,R (Sexual Content|Dialogue|Some Violence),https://www.rottentomatoes.com/m/the_lobster,Yorgos Lanthimos,"Colin Farrell,Rachel Weisz,Léa Seydoux,John C. Reilly",65,Romance/Comedy,1h58m,$9.1M,"Element Pictures, 
                            
                            Scarlet Films"
66,Problemista,2023,R (Sexual Content|Some Language),https://www.rottentomatoes.com/m/problemista,Julio Torres,"Julio Torres,Tilda Swinton,RZA,Isabella Rossellini",84,Comedy,1h38m,$2.1M,Fruit Tree
67,Lamb,2021,R (Some Bloody Violent Images|Sexuality/Nudity),https://www.rottentomatoes.com/m/lamb_2021,Valdimar Jóhannsson,"Noomi Rapace,Hilmir Snær Guðnason,Björn Hlynur Haraldsson,Ingvar Eggert Sigurðsson",61,Horror/Fantasy,1h46m,$2.0M,"Madants, 
                            
                            Film i Väst, 
                            
                            Black Spark Film & TV, 
                            
                            Chimney Sweden, 
                            
                            Rabbit Hole Productions, 
                            
                            Chimney Poland, 
                            
                            Go to Sheep"
68,Bodies Bodies Bodies,2022,R (Drug Use|Bloody Images|Pervasive Language|Sexual References|Violence),https://www.rottentomatoes.com/m/bodies_bodies_bodies,Halina Reijn,"Amandla Stenberg,Maria Bakalova,Myha'la Herrold,Chase Sui Wonders",69,Mystery&thriller/Horror,1h35m,$10.7M,"2AM, 
                            
                            A24"
69,Under the Skin,2013,R (Language|Graphic Nudity|Sexual Content|Some Violence),https://www.rottentomatoes.com/m/under_the_skin_2013,Jonathan Glazer,"Scarlett Johansson,Jeremy McWilliams,Lynsey Taylor Mackay,Dougie McConnell",55,Sci-fi,1h48m,$2.6M,
